
198	 884834	5 1 0 2 4 5 5 4 0 1 6 0 0 3 0 6 6 0 5 6 0 3 1 0 6 4 0     266667     183333          0 
297	 861500	3 4 1 2 2 4 5 6 0 1 4 0 0 5 0 6 5 0 5 3 0 4 6 0 6 6 0     250000     200000          0 
396	 711501	3 5 4 3 5 2 6 1 6 5 4 4 6 1 5 0 3 5 0 0 3 2 6 6 6 2 6      66667     127500     239166 
495	 578289	1 5 3 2 4 0 6 4 4 4 6 0 5 2 0 5 3 0 3 3 0 6 5 0 6 6 0     317856      73215      35714 
693	 138334	0 1 6 3 2 2 4 6 4 6 4 0 5 5 0 5 5 0 4 3 0 3 6 0 6 6 0     131998     266333      19667 
990	 123250	6 1 5 4 2 4 3 6 4 0 4 6 5 5 3 0 5 6 3 3 6 6 6 1 5 6 4     129250     235375      45125 
1089	 117000	4 2 3 4 2 4 5 6 6 6 4 6 2 5 5 2 5 1 3 3 6 5 6 0 3 6 5      77000      66000     275000 
1188	  55000	6 4 1 4 0 2 3 4 6 0 6 4 5 5 5 0 5 5 3 4 3 6 3 6 5 6 6     102000      46000     260000 
1287	  29287	3 6 4 4 2 4 6 6 5 6 4 6 5 5 2 1 5 2 6 3 3 0 6 5 5 6 3     250000      64286      92857 
7272	  15004	6 0 5 6 1 5 5 2 5 5 3 5 5 3 5 6 4 5 6 4 5 6 6 5 6 5 5     141667     250000      13889 
7866	  10628	6 0 2 6 1 5 5 2 5 5 3 5 5 3 5 6 4 5 6 4 5 6 6 5 6 5 5     141667     250000      15625 
0	3341500	6 0 0 4 0 0 5 0 0 6 0 0 2 0 0 3 0 0 1 0 0 0 0 0 0 0 0     720000          0          0 
99	1498167	0 6 4 3 6 4 0 0 3 0 2 0 0 0 5 0 1 3 0 2 1 0 5 6 0 6 5          0     246667     250000 
198	 969000	0 5 5 2 4 3 1 1 6 5 5 6 5 3 0 1 5 6 3 4 5 5 6 6 5 2 0          0     250000     212500 
297	 851500	6 3 1 0 6 6 5 5 0 3 5 4 4 6 6 2 6 6 1 3 5 2 1 5 5 4 2     125000     200000     125000 
396	 591500	2 6 6 0 5 2 5 5 3 5 0 4 1 6 6 5 3 3 1 4 1 1 6 5 6 4 6      95000     170000     165000 
495	 579000	5 6 0 6 3 5 5 3 5 5 6 0 6 5 6 6 6 3 3 2 4 1 1 6 4 2 4     125000     130000     162500 
594	 285001	0 2 6 5 3 3 0 3 5 5 6 5 4 5 6 6 6 6 4 2 3 5 1 1 6 2 4     133333      86666     183334 
693	 227000	6 6 5 2 5 0 3 0 3 4 5 0 6 4 5 3 6 3 1 4 1 5 5 6 6 6 5     234000     143000      41000 
792	  65000	6 0 6 2 1 5 3 5 0 4 5 5 6 2 4 3 6 6 1 6 4 5 3 5 6 3 6     150000     100000     150000 
2367	  55001	5 6 0 5 6 2 5 4 3 5 5 4 5 4 6 6 6 3 6 4 1 6 5 5 6 6 6      76666      83333     250000 
